TableName|ConstraintName|definition
---------|--------------|----------
dbo.Coupon|CK_Coupon_IsUsed|([IsUsed]=(1) OR [IsUsed]=(0))
dbo.Coupon|CK_Coupon_UsedFields|([IsUsed]=(0) AND [UsedTime] IS NULL AND [UsedInOrderID] IS NULL OR [IsUsed]=(1) AND [UsedTime] IS NOT NULL AND [UsedInOrderID] IS NOT NULL)
dbo.CouponType|CK_CouponType_DiscountType|(upper(ltrim(rtrim([DiscountType])))=N'PERCENT' OR upper(ltrim(rtrim([DiscountType])))=N'AMOUNT')
dbo.CouponType|CK_CouponType_ValidRange|([ValidFrom]<=[ValidTo])
dbo.DM_Conversations|CK_DM_Conversations_PartyOrder|([party1_id]<[party2_id])
dbo.DM_Conversations|CK_DM_Conversations_Positive|([party1_id]>(0) AND [party2_id]>(0))
dbo.DM_Conversations|CK_DMC_LastMsg_GE_Created|([last_message_at] IS NULL OR [last_message_at]>=[created_at])
dbo.DM_Messages|CK_DM_Messages_ReadConsistency|([is_read]=(1) AND [read_at] IS NOT NULL OR [is_read]=(0) AND [read_at] IS NULL)
dbo.EVoucherRedeemLog|CK_EVoucherRedeemLog_Status|(upper([Status])=N'REVOKED' OR upper([Status])=N'REJECTED' OR upper([Status])=N'EXPIRED' OR upper([Status])=N'ALREADYUSED' OR upper([Status])=N'APPROVED')
dbo.Notification_Recipients|CK_Notification_Recipients_TargetOneOnly|((case when [user_id] IS NULL then (0) else (1) end+case when [manager_id] IS NULL then (0) else (1) end)=(1))
dbo.Notifications|CK_Notifications_SenderOneOnly|((case when [sender_user_id] IS NULL then (0) else (1) end+case when [sender_manager_id] IS NULL then (0) else (1) end)<=(1))
dbo.Pet|CK_Pet_Hunger|([Hunger]>=(0) AND [Hunger]<=(100))
dbo.Pet|CK_Pet_Mood|([Mood]>=(0) AND [Mood]<=(100))
dbo.Pet|CK_Pet_Stamina|([Stamina]>=(0) AND [Stamina]<=(100))
dbo.Pet|CK_Pet_Cleanliness|([Cleanliness]>=(0) AND [Cleanliness]<=(100))
dbo.Pet|CK_Pet_Health|([Health]>=(0) AND [Health]<=(100))
dbo.PetBackgroundCostSettings|CK__PetBackgr__Point__541767F8|([PointsCost]>=(0))
dbo.PetLevelRewardSettings|CK_PetLevelRewardSettings_LevelRange|([LevelRangeStart]>(0) AND [LevelRangeEnd]>=[LevelRangeStart])
dbo.PetLevelRewardSettings|CK_PetLevelRewardSettings_PointsReward|([PointsReward]>=(0) AND [PointsReward]<=(999999))
dbo.PetSkinColorCostSettings|CK_PetSkinColorCostSettings_PointsCost|([PointsCost]>=(0))
dbo.PetSkinColorCostSettings|CK_PetSkinColorCostSettings_ColorCode|([ColorCode] like '#%' AND len([ColorCode])>=(4))
