TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,COLUMN_DEFAULT,IS_IDENTITY
------------,----------,-----------,----------------,-----------,---------,------------------------,-----------------,-------------,--------------,-----------
dbo,banned_words,word_id,1,NO,int,NULL,10,0,NULL,1
dbo,banned_words,word,2,YES,nvarchar,50,NULL,NULL,NULL,0
dbo,banned_words,created_at,3,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,bookmarks,id,1,NO,bigint,NULL,19,0,NULL,1
dbo,bookmarks,User_ID,2,YES,int,NULL,10,0,NULL,0
dbo,bookmarks,target_type,3,YES,varchar,50,NULL,NULL,NULL,0
dbo,bookmarks,target_id,4,YES,bigint,NULL,19,0,NULL,0
dbo,bookmarks,created_at,5,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,Coupon,CouponID,1,NO,int,NULL,10,0,NULL,1
dbo,Coupon,CouponCode,2,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,Coupon,CouponTypeID,3,NO,int,NULL,10,0,NULL,0
dbo,Coupon,UserID,4,NO,int,NULL,10,0,NULL,0
dbo,Coupon,IsUsed,5,NO,bit,NULL,NULL,NULL,NULL,0
dbo,Coupon,AcquiredTime,6,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Coupon,UsedTime,7,YES,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,Coupon,UsedInOrderID,8,YES,int,NULL,10,0,NULL,0
dbo,Coupon,IsDeleted,9,NO,bit,NULL,NULL,NULL,((0)),0
dbo,Coupon,DeletedAt,10,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,Coupon,DeletedBy,11,YES,int,NULL,10,0,NULL,0
dbo,Coupon,DeleteReason,12,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,CouponType,CouponTypeID,1,NO,int,NULL,10,0,NULL,1
dbo,CouponType,Name,2,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,CouponType,DiscountType,3,NO,nvarchar,20,NULL,NULL,NULL,0
dbo,CouponType,DiscountValue,4,YES,decimal,NULL,18,2,NULL,0
dbo,CouponType,MinSpend,5,YES,decimal,NULL,18,2,NULL,0
dbo,CouponType,ValidFrom,6,NO,datetime2,NULL,NULL,NULL,NULL,0
dbo,CouponType,ValidTo,7,NO,datetime2,NULL,NULL,NULL,NULL,0
dbo,CouponType,PointsCost,8,NO,int,NULL,10,0,NULL,0
dbo,CouponType,Description,9,YES,nvarchar,600,NULL,NULL,NULL,0
dbo,CouponType,IsDeleted,10,NO,bit,NULL,NULL,NULL,((0)),0
dbo,CouponType,DeletedAt,11,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,CouponType,DeletedBy,12,YES,int,NULL,10,0,NULL,0
dbo,CouponType,DeleteReason,13,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,CS_Agent,agent_id,1,NO,int,NULL,10,0,NULL,1
dbo,CS_Agent,manager_id,2,NO,int,NULL,10,0,NULL,0
dbo,CS_Agent,is_active,3,NO,bit,NULL,NULL,NULL,((1)),0
dbo,CS_Agent,max_concurrent,4,NO,tinyint,NULL,3,0,((5)),0
dbo,CS_Agent,created_at,5,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,CS_Agent,created_by_manager,6,YES,int,NULL,10,0,NULL,0
dbo,CS_Agent,updated_at,7,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,CS_Agent,updated_by_manager,8,YES,int,NULL,10,0,NULL,0
dbo,CS_Agent_Permission,agent_permission_id,1,NO,int,NULL,10,0,NULL,1
dbo,CS_Agent_Permission,agent_id,2,NO,int,NULL,10,0,NULL,0
dbo,CS_Agent_Permission,can_assign,3,NO,bit,NULL,NULL,NULL,((0)),0
dbo,CS_Agent_Permission,can_transfer,4,NO,bit,NULL,NULL,NULL,((0)),0
dbo,CS_Agent_Permission,can_accept,5,NO,bit,NULL,NULL,NULL,((0)),0
dbo,CS_Agent_Permission,can_edit_mute_all,6,NO,bit,NULL,NULL,NULL,((0)),0
dbo,DM_Conversations,conversation_id,1,NO,int,NULL,10,0,NULL,1
dbo,DM_Conversations,is_manager_dm,2,NO,bit,NULL,NULL,NULL,NULL,0
dbo,DM_Conversations,party1_id,3,NO,int,NULL,10,0,NULL,0
dbo,DM_Conversations,party2_id,4,NO,int,NULL,10,0,NULL,0
dbo,DM_Conversations,created_at,5,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,DM_Conversations,last_message_at,6,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,DM_Messages,message_id,1,NO,int,NULL,10,0,NULL,1
dbo,DM_Messages,conversation_id,2,NO,int,NULL,10,0,NULL,0
dbo,DM_Messages,sender_is_party1,3,NO,bit,NULL,NULL,NULL,NULL,0
dbo,DM_Messages,message_text,4,NO,nvarchar,255,NULL,NULL,NULL,0
dbo,DM_Messages,is_read,5,NO,bit,NULL,NULL,NULL,((0)),0
dbo,DM_Messages,read_at,6,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,DM_Messages,edited_at,7,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,EVoucher,EVoucherID,1,NO,int,NULL,10,0,NULL,1
dbo,EVoucher,EVoucherCode,2,NO,nvarchar,50,NULL,NULL,NULL,0
dbo,EVoucher,EVoucherTypeID,3,NO,int,NULL,10,0,NULL,0
dbo,EVoucher,UserID,4,NO,int,NULL,10,0,NULL,0
dbo,EVoucher,IsUsed,5,NO,bit,NULL,NULL,NULL,NULL,0
dbo,EVoucher,AcquiredTime,6,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,EVoucher,UsedTime,7,YES,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,EVoucher,IsDeleted,8,NO,bit,NULL,NULL,NULL,((0)),0
dbo,EVoucher,DeletedAt,9,YES,datetime2,NULL,NULL,NULL,NULL,0
dbo,EVoucher,DeletedBy,10,YES,int,NULL,10,0,NULL,0
dbo,EVoucher,DeleteReason,11,YES,nvarchar,500,NULL,NULL,NULL,0
dbo,EVoucherRedeemLog,RedeemID,1,NO,int,NULL,10,0,NULL,1
dbo,EVoucherRedeemLog,EVoucherID,2,NO,int,NULL,10,0,NULL,0
dbo,EVoucherRedeemLog,TokenID,3,YES,int,NULL,10,0,NULL,0
dbo,EVoucherRedeemLog,UserID,4,NO,int,NULL,10,0,NULL,0
dbo,EVoucherRedeemLog,ScannedAt,5,NO,datetime2,NULL,NULL,NULL,(sysutcdatetime()),0
dbo,EVoucherRedeemLog,Status,6,NO,nvarchar,20,NULL,NULL,NULL,0
dbo,EVoucherRedeemLog,IsDeleted,7,NO,bit,NULL,NULL,NULL,((0)),0
dbo,EVoucherRedeemLog,DeletedAt,8,YES,datetime2,NULL,NULL,NULL,NULL,0
