FK_Name|Parent_Table|Parent_Columns|Referenced_Table|Referenced_Columns|delete_referential_action_desc|update_referential_action_desc
-------|------------|--------------|----------------|------------------|------------------------------|------------------------------
FK__bookmarks__User___6BAEFA67|dbo.bookmarks|User_ID|dbo.Users|User_ID|NO_ACTION|NO_ACTION
FK__bookmarks__User___77DFC722|dbo.bookmarks|User_ID|dbo.Users|User_ID|NO_ACTION|NO_ACTION
FK_Coupon_CouponType|dbo.Coupon|CouponTypeID|dbo.CouponType|CouponTypeID|NO_ACTION|NO_ACTION
FK_Coupon_Users|dbo.Coupon|UserID|dbo.Users|User_ID|NO_ACTION|NO_ACTION
FK_CS_Agent_CreatedBy|dbo.CS_Agent|created_by_manager|dbo.ManagerData|Manager_Id|NO_ACTION|NO_ACTION
FK_CS_Agent_Manager|dbo.CS_Agent|manager_id|dbo.ManagerData|Manager_Id|NO_ACTION|NO_ACTION
FK_CS_Agent_UpdatedBy|dbo.CS_Agent|updated_by_manager|dbo.ManagerData|Manager_Id|NO_ACTION|NO_ACTION
FK_CS_Perm_Agent|dbo.CS_Agent_Permission|agent_id|dbo.CS_Agent|agent_id|CASCADE|NO_ACTION
FK_DM_Messages_Conversation|dbo.DM_Messages|conversation_id|dbo.DM_Conversations|conversation_id|CASCADE|NO_ACTION
FK_EVoucher_EVoucherType|dbo.EVoucher|EVoucherTypeID|dbo.EVoucherType|EVoucherTypeID|NO_ACTION|NO_ACTION
FK_EVoucher_Users|dbo.EVoucher|UserID|dbo.Users|User_ID|NO_ACTION|NO_ACTION
FK_EVoucherRedeemLog_EVoucher|dbo.EVoucherRedeemLog|EVoucherID|dbo.EVoucher|EVoucherID|CASCADE|NO_ACTION
FK_EVoucherRedeemLog_Token|dbo.EVoucherRedeemLog|TokenID|dbo.EVoucherToken|TokenID|NO_ACTION|NO_ACTION
FK_EVoucherRedeemLog_Users|dbo.EVoucherRedeemLog|UserID|dbo.Users|User_ID|NO_ACTION|NO_ACTION
FK_EVoucherToken_EVoucher|dbo.EVoucherToken|EVoucherID|dbo.EVoucher|EVoucherID|NO_ACTION|NO_ACTION
FK__forums__game_id__6501FCD8|dbo.forums|game_id|dbo.games|game_id|NO_ACTION|NO_ACTION
FK__forums__game_id__7F80E8EA|dbo.forums|game_id|dbo.games|game_id|NO_ACTION|NO_ACTION
FK__game_metr__game___09FE775D|dbo.game_metric_daily|game_id|dbo.games|game_id|NO_ACTION|NO_ACTION
FK__game_metr__game___5C6CB6D7|dbo.game_metric_daily|game_id|dbo.games|game_id|NO_ACTION|NO_ACTION
FK__game_metr__metri__0AF29B96|dbo.game_metric_daily|metric_id|dbo.metrics|metric_id|NO_ACTION|NO_ACTION
FK__game_metr__metri__5D60DB10|dbo.game_metric_daily|metric_id|dbo.metrics|metric_id|NO_ACTION|NO_ACTION
FK__game_sour__game___08162EEB|dbo.game_source_map|game_id|dbo.games|game_id|NO_ACTION|NO_ACTION
FK__game_sour__game___5A846E65|dbo.game_source_map|game_id|dbo.games|game_id|NO_ACTION|NO_ACTION
