TableName|IndexName|IndexType|is_primary_key|is_unique|Columns
---------|---------|---------|--------------|---------|-------
dbo.banned_words|PK__banned_w__7FFA1D406FBDDC61|CLUSTERED|1|1|word_id
dbo.bookmarks|PK__bookmark__3213E83F2689F12E|CLUSTERED|1|1|id
dbo.bookmarks|bookmarks_index_20|NONCLUSTERED|0|1|User_ID,target_type,target_id
dbo.bookmarks|bookmarks_index_21|NONCLUSTERED|0|0|target_type,target_id
dbo.Coupon|PK_Coupon|CLUSTERED|1|1|CouponID
dbo.Coupon|UQ_Coupon_CouponCode|NONCLUSTERED|0|1|CouponCode
dbo.Coupon|IX_Coupon_IsDeleted|NONCLUSTERED|0|0|IsDeleted
dbo.Coupon|IX_Coupon_user_used|NONCLUSTERED|0|0|UserID,IsUsed,AcquiredTime
dbo.CouponType|PK_CouponType|CLUSTERED|1|1|CouponTypeID
dbo.CouponType|UQ_CouponType_Name|NONCLUSTERED|0|1|Name
dbo.CouponType|IX_CouponType_IsDeleted|NONCLUSTERED|0|0|IsDeleted
dbo.CS_Agent|PK_CS_Agent|CLUSTERED|1|1|agent_id
dbo.CS_Agent|UQ_CS_Agent_Manager|NONCLUSTERED|0|1|manager_id
dbo.CS_Agent|IX_CS_Agent_IsActive|NONCLUSTERED|0|0|is_active
dbo.CS_Agent_Permission|PK_CS_Agent_Permission|CLUSTERED|1|1|agent_permission_id
dbo.CS_Agent_Permission|UQ_CS_Perm_Agent|NONCLUSTERED|0|1|agent_id
dbo.CS_Agent_Permission|IX_CS_Perm_CanAssign|NONCLUSTERED|0|0|agent_id,can_assign
dbo.CS_Agent_Permission|IX_CS_Perm_EditAll|NONCLUSTERED|0|0|agent_id,can_edit_mute_all
dbo.DM_Conversations|PK_DM_Conversations|CLUSTERED|1|1|conversation_id
dbo.DM_Conversations|UQ_DM_Conversations_Pair|NONCLUSTERED|0|1|is_manager_dm,party1_id,party2_id
dbo.DM_Conversations|IX_DMC_List_ByParty1|NONCLUSTERED|0|0|is_manager_dm,party1_id,last_message_at
dbo.DM_Conversations|IX_DMC_List_ByParty2|NONCLUSTERED|0|0|is_manager_dm,party2_id,last_message_at
dbo.DM_Messages|PK_DM_Messages|CLUSTERED|1|1|message_id
dbo.DM_Messages|IX_Msg_ConvTime|NONCLUSTERED|0|0|conversation_id,edited_at
dbo.DM_Messages|IX_Msg_Unread|NONCLUSTERED|0|0|conversation_id
dbo.DM_Messages|IX_Msg_Unread_ForParty1|NONCLUSTERED|0|0|conversation_id,edited_at
dbo.DM_Messages|IX_Msg_Unread_ForParty2|NONCLUSTERED|0|0|conversation_id,edited_at
dbo.EVoucher|PK_EVoucher|CLUSTERED|1|1|EVoucherID
dbo.EVoucher|UQ_EVoucher_EVoucherCode|NONCLUSTERED|0|1|EVoucherCode
dbo.EVoucher|IX_EVoucher_IsDeleted|NONCLUSTERED|0|0|IsDeleted
dbo.EVoucher|IX_EVoucher_user_used|NONCLUSTERED|0|0|UserID,IsUsed,AcquiredTime
dbo.EVoucherRedeemLog|PK_EVoucherRedeemLog|CLUSTERED|1|1|RedeemID
dbo.EVoucherRedeemLog|IX_EVoucherRedeemLog_IsDeleted|NONCLUSTERED|0|0|IsDeleted
dbo.EVoucherRedeemLog|IX_EVoucherRedeemLog_voucher_user|NONCLUSTERED|0|0|EVoucherID,UserID,ScannedAt
dbo.EVoucherToken|PK_EVoucherToken|CLUSTERED|1|1|TokenID
dbo.EVoucherToken|UQ_EVoucherToken_Token|NONCLUSTERED|0|1|Token
