TABLE_SCHEMA TABLE_NAME
------------ ----------
dbo banned_words
dbo bookmarks
dbo Coupon
dbo CouponType
dbo CS_Agent
dbo CS_Agent_Permission
dbo DM_Conversations
dbo DM_Messages
dbo EVoucher
dbo EVoucherRedeemLog
dbo EVoucherToken
dbo EVoucherType
dbo forums
dbo game_metric_daily
dbo game_source_map
dbo games
dbo Group_Block
dbo Group_Chat
dbo Group_Member
dbo Group_Read_States
dbo Groups
dbo leaderboard_snapshots
dbo ManagerData
dbo ManagerRole
dbo ManagerRolePermission
dbo MemberSalesProfile
dbo metric_sources
dbo metrics
dbo MiniGame
dbo Mutes
dbo Notification_Actions
dbo Notification_Recipients
dbo Notification_Sources
dbo Notifications
dbo Pet
dbo PetBackgroundCostSettings
dbo PetLevelRewardSettings
dbo PetSkinColorCostSettings
dbo PlayerMarketOrderInfo
dbo PlayerMarketOrderTradepage
dbo PlayerMarketProductImgs
dbo PlayerMarketProductInfo
dbo PlayerMarketRanking
dbo PlayerMarketTradeMsg
dbo popularity_index_daily
dbo post_metric_snapshot
dbo post_sources
dbo posts
dbo reactions
dbo Relation
dbo Relation_Status
dbo RemoteZipcodes
dbo S_GameGenre
dbo S_GameProductDetails
dbo S_GameProductGenre
dbo S_MerchType
dbo S_Official_Store_Ranking
dbo S_OtherProductDetails
dbo S_PeriodType
dbo S_Platform
dbo S_ProductCode
dbo S_ProductCodeRule
dbo S_ProductImages
dbo S_ProductInfo
dbo S_ProductRatings
dbo S_Supplier
dbo S_SupplierStatus
dbo S_UserFavorites
dbo ShipMethods
dbo SignInRule
dbo SO_CartItems
dbo SO_Carts
dbo SO_Coupons
dbo SO_OrderAddresses
dbo SO_OrderInfoes
dbo SO_OrderItems
dbo SO_OrderStatusHistory
dbo SO_PaymentTransactions
dbo SO_PayMethods
dbo SO_RemoteZip
dbo SO_RemoteZipcodes
dbo SO_Shipments
dbo SO_ShipMethods
dbo SO_ShipPieceRules
dbo SO_ShippingConfig
dbo SO_ShipWeightRules
dbo SO_StockMovements
dbo Support_Ticket_Assignments
dbo Support_Ticket_Messages
dbo Support_Tickets
dbo SystemSettings
dbo thread_posts
dbo threads
dbo User_Introduce
dbo User_Rights
dbo User_Sales_Information
dbo User_Wallet
dbo UserHome
dbo Users
dbo UserSignInStats
dbo UserTokens
dbo WalletHistory

(102 個受影響的資料列)
