TableName|ColumnCount|RequiredColumns
---------|-----------|---------------
dbo.banned_words|3|1
dbo.bookmarks|5|1
dbo.Coupon|12|7
dbo.CouponType|13|7
dbo.CS_Agent|8|5
dbo.CS_Agent_Permission|6|6
dbo.DM_Conversations|6|5
dbo.DM_Messages|7|6
dbo.EVoucher|11|7
dbo.EVoucherRedeemLog|10|6
dbo.EVoucherToken|9|6
dbo.EVoucherType|12|8
dbo.forums|5|1
dbo.game_metric_daily|9|1
dbo.game_source_map|5|2
dbo.games|5|1
dbo.Group_Block|7|4
dbo.Group_Chat|5|5
dbo.Group_Member|6|5
dbo.Group_Read_States|4|3
dbo.Groups|7|5
dbo.leaderboard_snapshots|7|1
dbo.ManagerData|10|5
dbo.ManagerRole|2|2
dbo.ManagerRolePermission|8|2
dbo.MemberSalesProfile|4|1
dbo.metric_sources|4|1
dbo.metrics|7|1
dbo.MiniGame|24|20
dbo.Mutes|6|4
dbo.Notification_Actions|3|3
dbo.Notification_Recipients|5|2
dbo.Notification_Sources|3|3
dbo.Notifications|9|5
dbo.Pet|26|21
dbo.PetBackgroundCostSettings|16|7
dbo.PetLevelRewardSettings|14|8
dbo.PetSkinColorCostSettings|21|11
dbo.PlayerMarketOrderInfo|12|1
dbo.PlayerMarketOrderTradepage|7|1
dbo.PlayerMarketProductImgs|3|1
dbo.PlayerMarketProductInfo|12|1
dbo.PlayerMarketRanking|9|1
dbo.PlayerMarketTradeMsg|5|1
dbo.popularity_index_daily|5|1
dbo.post_metric_snapshot|6|1
dbo.post_sources|5|1
dbo.posts|12|1
dbo.reactions|6|1
dbo.Relation|8|5
dbo.Relation_Status|4|4
dbo.RemoteZipcodes|1|1
dbo.S_GameGenre|2|2
dbo.S_GameProductDetails|7|4
dbo.S_GameProductGenre|2|2
dbo.S_MerchType|2|2
dbo.S_Official_Store_Ranking|11|7
dbo.S_OtherProductDetails|12|4
dbo.S_PeriodType|2|2
dbo.S_Platform|2|2
dbo.S_ProductCode|2|2
dbo.S_ProductCodeRule|4|4
dbo.S_ProductImages|6|6
dbo.S_ProductInfo|19|10
dbo.S_ProductRatings|9|6
dbo.S_Supplier|9|5
dbo.S_SupplierStatus|2|2
dbo.S_UserFavorites|3|3
dbo.ShipMethods|6|6
dbo.SignInRule|14|8
dbo.SO_CartItems|16|11
dbo.SO_Carts|15|8
dbo.SO_Coupons|10|3
dbo.SO_OrderAddresses|11|9
dbo.SO_OrderInfoes|15|10
dbo.SO_OrderItems|11|9
dbo.SO_OrderStatusHistory|7|4
dbo.SO_PaymentTransactions|12|8
dbo.SO_PayMethods|7|6
dbo.SO_RemoteZip|2|1
dbo.SO_RemoteZipcodes|2|1
dbo.SO_Shipments|13|7
dbo.SO_ShipMethods|9|9
dbo.SO_ShipPieceRules|5|4
dbo.SO_ShippingConfig|2|2
dbo.SO_ShipWeightRules|5|4
dbo.SO_StockMovements|7|5
dbo.Support_Ticket_Assignments|7|4
dbo.Support_Ticket_Messages|8|4
dbo.Support_Tickets|10|5
dbo.SystemSettings|15|8
dbo.thread_posts|8|1
dbo.threads|7|1
dbo.User_Introduce|11|9
dbo.User_Rights|5|1
dbo.User_Sales_Information|2|1
dbo.User_Wallet|6|3
dbo.UserHome|8|5
dbo.Users|11|10
dbo.UserSignInStats|13|10
dbo.UserTokens|6|6
dbo.WalletHistory|11|6

(102 個受影響的資料列)
