SourceTable                                                                                                                     |SourceCol                                                                                                                       |TargetTable                                                                                                                     |TargetCol                                                                                                                       
--------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------
bookmarks                                                                                                                       |User_ID                                                                                                                         |Users                                                                                                                           |User_ID                                                                                                                         
bookmarks                                                                                                                       |User_ID                                                                                                                         |Users                                                                                                                           |User_ID                                                                                                                         
Coupon                                                                                                                          |CouponTypeID                                                                                                                    |CouponType                                                                                                                      |CouponTypeID                                                                                                                    
Coupon                                                                                                                          |UserID                                                                                                                          |Users                                                                                                                           |User_ID                                                                                                                         
CS_Agent                                                                                                                        |manager_id                                                                                                                      |ManagerData                                                                                                                     |Manager_Id                                                                                                                      
CS_Agent                                                                                                                        |created_by_manager                                                                                                              |ManagerData                                                                                                                     |Manager_Id                                                                                                                      
CS_Agent                                                                                                                        |updated_by_manager                                                                                                              |ManagerData                                                                                                                     |Manager_Id                                                                                                                      
EVoucher                                                                                                                        |EVoucherTypeID                                                                                                                  |EVoucherType                                                                                                                    |EVoucherTypeID                                                                                                                  
EVoucher                                                                                                                        |UserID                                                                                                                          |Users                                                                                                                           |User_ID                                                                                                                         
EVoucherRedeemLog                                                                                                               |EVoucherID                                                                                                                      |EVoucher                                                                                                                        |EVoucherID                                                                                                                      
EVoucherRedeemLog                                                                                                               |TokenID                                                                                                                         |EVoucherToken                                                                                                                   |TokenID                                                                                                                         
EVoucherRedeemLog                                                                                                               |UserID                                                                                                                          |Users                                                                                                                           |User_ID                                                                                                                         
EVoucherToken                                                                                                                   |EVoucherID                                                                                                                      |EVoucher                                                                                                                        |EVoucherID                                                                                                                      
Group_Block                                                                                                                     |user_id                                                                                                                         |Users                                                                                                                           |User_ID                                                                                                                         
Group_Block                                                                                                                     |blocked_by_user_id                                                                                                              |Users                                                                                                                           |User_ID                                                                                                                         
Group_Chat                                                                                                                      |sender_user_id                                                                                                                  |Users                                                                                                                           |User_ID                                                                                                                         
Group_Member                                                                                                                    |user_id                                                                                                                         |Users                                                                                                                           |User_ID                                                                                                                         
Group_Read_States                                                                                                               |user_id                                                                                                                         |Users                                                                                                                           |User_ID                                                                                                                         
Groups                                                                                                                          |owner_user_id                                                                                                                   |Users                                                                                                                           |User_ID                                                                                                                         
ManagerRole                                                                                                                     |Manager_Id                                                                                                                      |ManagerData                                                                                                                     |Manager_Id                                                                                                                      
ManagerRole                                                                                                                     |Manager_Id                                                                                                                      |ManagerData                                                                                                                     |Manager_Id                                                                                                                      
ManagerRole                                                                                                                     |ManagerRole_Id                                                                                                                  |ManagerRolePermission                                                                                                           |ManagerRole_Id                                                                                                                  
ManagerRole                                                                                                                     |ManagerRole_Id                                                                                                                  |ManagerRolePermission                                                                                                           |ManagerRole_Id                                                                                                                  
MemberSalesProfile                                                                                                              |User_Id                                                                                                                         |Users                                                                                                                           |User_ID                                                                                                                         
MemberSalesProfile                                                                                                              |User_Id                                                                                                                         |Users                                                                                                                           |User_ID                                                                                                                         
MiniGame                                                                                                                        |UserID                                                                                                                          |Users                                                                                                                           |User_ID                                                                                                                         
MiniGame                                                                                                                        |PetID                                                                                                                           |Pet                                                                                                                             |PetID                                                                                                                           
Mutes                                                                                                                           |manager_id                                                                                                                      |ManagerData                                                                                                                     |Manager_Id                                                                                                                      
Notification_Recipients                                                                                                         |user_id                                                                                                                         |Users                                                                                                                           |User_ID                                                                                                                         
Notification_Recipients                                                                                                         |manager_id                                                                                                                      |ManagerData                                                                                                                     |Manager_Id                                                                                                                      
Notifications                                                                                                                   |sender_user_id                                                                                                                  |Users                                                                                                                           |User_ID                                                                                                                         
Notifications                                                                                                                   |sender_manager_id                                                                                                               |ManagerData                                                                                                                     |Manager_Id                                                                                                                      
Pet                                                                                                                             |UserID                                                                                                                          |Users                                                                                                                           |User_ID                                                                                                                         
PetBackgroundCostSettings                                                                                                       |UpdatedBy                                                                                                                       |ManagerData                                                                                                                     |Manager_Id                                                                                                                      
PlayerMarketOrderInfo                                                                                                           |seller_id                                                                                                                       |Users                                                                                                                           |User_ID                                                                                                                         
PlayerMarketOrderInfo                                                                                                           |seller_id                                                                                                                       |Users                                                                                                                           |User_ID                                                                                                                         
PlayerMarketOrderInfo                                                                                                           |buyer_id                                                                                                                        |Users                                                                                                                           |User_ID                                                                                                                         
PlayerMarketOrderInfo                                                                                                           |buyer_id                                                                                                                        |Users                                                                                                                           |User_ID                                                                                                                         
PlayerMarketProductInfo                                                                                                         |seller_id                                                                                                                       |Users                                                                                                                           |User_ID                                                                                                                         
