Table                                                                                                                           |PK                                                                                                                              
--------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------
Coupon                                                                                                                          |CouponID                                                                                                                        
CouponType                                                                                                                      |CouponTypeID                                                                                                                    
EVoucher                                                                                                                        |EVoucherID                                                                                                                      
EVoucherRedeemLog                                                                                                               |RedeemID                                                                                                                        
EVoucherToken                                                                                                                   |TokenID                                                                                                                         
EVoucherType                                                                                                                    |EVoucherTypeID                                                                                                                  
ManagerData                                                                                                                     |Manager_Id                                                                                                                      
ManagerRole                                                                                                                     |Manager_Id                                                                                                                      
ManagerRole                                                                                                                     |ManagerRole_Id                                                                                                                  
ManagerRolePermission                                                                                                           |ManagerRole_Id                                                                                                                  
MiniGame                                                                                                                        |PlayID                                                                                                                          
Pet                                                                                                                             |PetID                                                                                                                           
PetBackgroundCostSettings                                                                                                       |SettingId                                                                                                                       
PetLevelRewardSettings                                                                                                          |SettingId                                                                                                                       
PetSkinColorCostSettings                                                                                                        |SettingId                                                                                                                       
SignInRule                                                                                                                      |Id                                                                                                                              
SystemSettings                                                                                                                  |SettingId                                                                                                                       
User_Wallet                                                                                                                     |User_Id                                                                                                                         
Users                                                                                                                           |User_ID                                                                                                                         
UserSignInStats                                                                                                                 |LogID                                                                                                                           
WalletHistory                                                                                                                   |LogID                                                                                                                           
