Table                                                                                                                           |Column                                                                                                                          
--------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------
Coupon                                                                                                                          |CouponCode                                                                                                                      
EVoucher                                                                                                                        |EVoucherCode                                                                                                                    
EVoucherToken                                                                                                                   |Token                                                                                                                           
ManagerData                                                                                                                     |Manager_Email                                                                                                                   
ManagerData                                                                                                                     |Manager_Account                                                                                                                 
PetBackgroundCostSettings                                                                                                       |BackgroundCode                                                                                                                  
PetLevelRewardSettings                                                                                                          |LevelRangeEnd                                                                                                                   
PetLevelRewardSettings                                                                                                          |LevelRangeStart                                                                                                                 
PetSkinColorCostSettings                                                                                                        |ColorCode                                                                                                                       
SystemSettings                                                                                                                  |SettingKey                                                                                                                      
Users                                                                                                                           |User_name                                                                                                                       
Users                                                                                                                           |User_Account                                                                                                                    
